city,lat,lng,country,population
Tokyo,35.6897,139.6922,Japan,37977000
Jakarta,-6.2146,106.8451,Indonesia,34540000
Delhi,28.66,77.23,India,29617000
Mumbai,18.9667,72.8333,India,23355000
Manila,14.5958,120.9772,Philippines,23088000
Shanghai,31.1667,121.4667,China,22120000
São Paulo,-23.5504,-46.6339,Brazil,22046000
Seoul,37.5833,127,"Korea, South",21794000
Mexico City,19.4333,-99.1333,Mexico,20996000
Guangzhou,23.1288,113.259,China,20902000
Beijing,39.905,116.3914,China,19433000
Cairo,30.0561,31.2394,Egypt,19372000
New York,40.6943,-73.9249,United States,18713220
